LTLA,LTLA_name,x_long,y_lat,area,RGN,RGN_name,popT,popT1,popT2,popT3,popM,popM1,popM2,popM3,popF,popF1,popF2,popF3,income,density
E06000001,Hartlepool,-1.259178,54.66939,93.88836,E12000001,North East,93242,21110,59469,12663,45524,10799,29124,5601,47718,10311,30345,7062,22125.86207,993.1156535
E06000002,Middlesbrough,-1.222305,54.542013,53.861462,E12000001,North East,140545,34220,90148,16177,69436,17465,44800,7171,71109,16755,45348,9006,22062.7907,2609.379597
E06000003,Redcar and Cleveland,-1.020671,54.55162,244.909063,E12000001,North East,136718,29141,85484,22093,66417,15025,41426,9966,70301,14116,44058,12127,24446.59091,558.2398557
E06000004,Stockton-on-Tees,-1.332252,54.561823,203.931577,E12000001,North East,197213,45744,126260,25209,97322,23574,62489,11259,99891,22170,63771,13950,25865.83333,967.054749
E06000005,Darlington,-1.552639,54.548715,197.462873,E12000001,North East,106566,23625,67313,15628,51919,12070,32850,6999,54647,11555,34463,8629,24292.30769,539.6761345
E06000006,Halton,-2.712169,53.345142,79.109982,E12000002,North West,128432,30090,82624,15718,62649,15352,40150,7147,65783,14738,42474,8571,23854.43038,1623.461373
E06000007,Warrington,-2.562761,53.39911,180.630159,E12000002,North West,209547,46849,134573,28125,104059,24160,67428,12471,105488,22689,67145,15654,28052.75591,1160.088665
E06000008,Blackburn with Darwen,-2.467586,53.69266,137.044978,E12000002,North West,148942,40504,93544,14894,74605,20539,47284,6782,74337,19965,46260,8112,21887.91209,1086.811076
E06000009,Blackpool,-3.029223,53.817874,34.906545,E12000002,North West,139305,30504,88088,20713,69038,15545,44241,9252,70267,14959,43847,11461,19760.6383,3990.79886
E06000010,Kingston upon Hull,-0.334977,53.764128,71.457957,E12000003,Yorkshire and The Humber,260645,59690,173665,27290,131329,30786,88335,12208,129316,28904,85330,15082,22265.06024,3647.529414
E06000011,East Riding of Yorkshire,-0.491724,53.874482,2408.916705,E12000003,Yorkshire and The Humber,339614,66562,209801,63251,166675,34307,103857,28511,172939,32255,105944,34740,28407.14286,140.9820436
E06000012,North East Lincolnshire,-0.138497,53.542631,191.84569,E12000003,Yorkshire and The Humber,159821,36251,100090,23480,78411,18389,49612,10410,81410,17862,50478,13070,23677.35849,833.0705788
E06000013,North Lincolnshire,-0.593759,53.590819,846.302867,E12000003,Yorkshire and The Humber,172005,37591,108961,25453,85203,19187,54485,11531,86802,18404,54476,13922,26816.83168,203.2428421
E06000014,York,-1.061457,53.958782,271.921788,E12000003,Yorkshire and The Humber,209893,39185,142456,28252,102870,20026,70674,12170,107023,19159,71782,16082,29416.66667,771.8873929
E06000015,Derby,-1.468343,52.91256,78.007129,E12000004,East Midlands,257174,62990,163390,30794,127252,32273,81598,13381,129922,30717,81792,17413,27093.37748,3296.801245
E06000016,Leicester,-1.128464,52.637941,73.330165,E12000004,East Midlands,355218,88682,237520,29016,177932,45269,120146,12517,177286,43413,117374,16499,20796.875,4844.091105
E06000017,Rutland,-0.654625,52.660773,393.733984,E12000004,East Midlands,39697,8341,24130,7226,20273,4328,12636,3309,19424,4013,11494,3917,34300,100.8218788
E06000018,Nottingham,-1.176518,52.960615,74.608087,E12000004,East Midlands,331069,73286,230817,26966,168142,37731,118529,11882,162927,35555,112288,15084,23403.2967,4437.441212
E06000019,Herefordshire,-2.745116,52.103688,2179.77927,E12000005,West Midlands,192107,38101,120360,33646,95055,19611,60117,15327,97052,18490,60243,18319,27018.96552,88.13140057
E06000020,Telford and Wrekin,-2.488788,52.730219,290.294416,E12000005,West Midlands,177799,42819,113936,21044,88364,21729,57138,9497,89435,21090,56798,11547,26464.81481,612.4781952
E06000021,Stoke-on-Trent,-2.164544,53.018069,93.437677,E12000005,West Midlands,255833,60493,164523,30817,128596,30840,83912,13844,127237,29653,80611,16973,23530.18868,2738.006853
E06000022,Bath and North East Somerset,-2.475206,51.355965,351.161179,E12000009,South West,192106,38528,126817,26761,95047,19876,63296,11875,97059,18652,63521,14886,30145.21739,547.059332
E06000023,Bristol,-2.60042,51.466787,109.605015,E12000009,South West,463405,99043,321146,43216,232381,50574,162776,19031,231024,48469,158370,24185,27247.14829,4227.95435
E06000024,North Somerset,-2.794129,51.389801,374.707392,E12000009,South West,213919,45717,130537,37665,104076,23480,63752,16844,109843,22237,66785,20821,28676.2963,570.8961301
E06000025,South Gloucestershire,-2.457492,51.541904,496.965114,E12000009,South West,282644,62019,181632,38993,140058,31596,90863,17599,142586,30423,90769,21394,30149.09091,568.7401229
E06000026,Plymouth,-4.118286,50.392008,79.834112,E12000009,South West,263100,55606,172483,35011,131065,28491,86869,15705,132035,27115,85614,19306,26135.40373,3295.583722
E06000027,Torbay,-3.554224,50.441756,62.927773,E12000009,South West,135780,26848,82493,26439,66126,13746,40483,11897,69654,13102,42010,14542,23085.39326,2157.711826
E06000030,Swindon,-1.743791,51.571556,230.103224,E12000009,South West,221996,52703,144293,25000,110843,26950,72646,11247,111153,25753,71647,13753,27456.06061,964.7670126
E06000031,Peterborough,-0.253069,52.608546,343.430417,E12000006,East of England,201041,53375,126730,20936,100921,27494,64080,9347,100120,25881,62650,11589,26741.96429,585.3907809
E06000032,Luton,-0.425571,51.894231,43.361227,E12000006,East of England,214109,59930,135034,19145,108624,30823,69222,8579,105485,29107,65812,10566,25644.6281,4937.798462
E06000033,Southend-on-Sea,0.709395,51.547727,41.784151,E12000006,East of England,182463,41503,115144,25816,89405,21183,56947,11275,93058,20320,58197,14541,27965.42056,4366.799268
E06000034,Thurrock,0.367659,51.509145,163.302738,E12000006,East of England,172525,45731,110211,16583,85170,23397,54478,7295,87355,22334,55733,9288,27576.53061,1056.473407
E06000035,Medway,0.553477,51.415217,191.962339,E12000008,South East,277855,67753,178836,31266,137618,34746,88834,14038,140237,33007,90002,17228,28405.52147,1447.445376
E06000036,Bracknell Forest,-0.739741,51.408131,109.356754,E12000008,South East,121676,29847,79467,12362,60425,15415,39527,5483,61251,14432,39940,6879,31322.66667,1112.651899
E06000037,West Berkshire,-1.304483,51.449587,704.175823,E12000008,South East,158527,37644,99526,21357,78455,19253,49476,9726,80072,18391,50050,11631,33976.28866,225.1241733
E06000038,Reading,-0.983802,51.452991,40.390195,E12000008,South East,163203,38960,109746,14497,82420,20012,55966,6442,80783,18948,53780,8055,31118.5567,4040.658878
E06000039,Slough,-0.58629,51.508406,32.523032,E12000008,South East,149112,44433,94669,10010,75271,22730,48190,4351,73841,21703,46479,5659,25743.75,4584.812388
E06000040,Windsor and Maidenhead,-0.699531,51.485672,198.396242,E12000008,South East,150906,36436,93679,20791,74897,19200,46492,9205,76009,17236,47187,11586,33496.62921,760.6293268
E06000041,Wokingham,-0.883801,51.429447,178.960649,E12000008,South East,167979,41518,104792,21669,82776,21324,51763,9689,85203,20194,53029,11980,36258.58586,938.6365156
E06000042,Milton Keynes,-0.733496,52.083858,308.650664,E12000008,South East,268607,71332,172362,24913,132856,36460,85473,10923,135751,34872,86889,13990,29744.73684,870.2621809
E06000043,Brighton and Hove,-0.13409,50.844648,82.696249,E12000008,South East,290395,54343,208096,27956,145899,27749,105615,12535,144496,26594,102481,15421,29878.18182,3511.586118
E06000044,Portsmouth,-1.070086,50.820714,40.396354,E12000008,South East,215133,46736,146339,22058,109659,24006,75952,9701,105474,22730,70387,12357,28716.8,5325.554876
E06000045,Southampton,-1.399154,50.91991,49.886367,E12000008,South East,252796,53837,174904,24055,129167,27724,90987,10456,123629,26113,83917,13599,27493.24324,5067.43656
E06000046,Isle of Wight,-1.297947,50.674653,380.246185,E12000008,South East,141538,26378,86380,28780,69334,13647,42529,13158,72204,12731,43851,15622,27066.29213,372.2272717
E06000047,County Durham,-1.839796,54.695395,2231.557705,E12000001,North East,526980,106918,343109,76953,259299,54861,169480,34958,267681,52057,173629,41995,25211.41975,236.148946
E06000049,Cheshire East,-2.349363,53.180427,1166.413785,E12000002,North West,380790,80638,236781,63371,186328,41354,116498,28476,194462,39284,120283,34895,30083.33333,326.4621911
E06000050,Cheshire West and Chester,-2.731452,53.197502,916.613789,E12000002,North West,340502,71691,216010,52801,165941,36752,105268,23921,174561,34939,110742,28880,29310.37736,371.4781559
E06000051,Shropshire,-2.734143,52.635418,3197.397692,E12000005,West Midlands,320274,63457,200279,56538,158827,32335,100841,25651,161447,31122,99438,30887,27637.82383,100.167083
E06000052,Cornwall,-4.825041,50.406674,3549.876161,E12000009,South West,565968,114043,351372,100553,275042,58632,170702,45708,290926,55411,180670,54845,25391.10429,159.4331673
E06000054,Wiltshire,-1.944679,51.297635,3255.414976,E12000009,South West,498064,111389,309696,76979,246106,56802,154611,34693,251958,54587,155085,42286,29868.42105,152.9955485
E06000055,Bedford,-0.477078,52.189227,476.415555,E12000006,East of England,171623,42141,107622,21860,84577,21757,52995,9825,87046,20384,54627,12035,29790.29126,360.2380279
E06000056,Central Bedfordshire,-0.435981,52.0067,715.608075,E12000006,East of England,283606,65439,182068,36099,139890,33389,89772,16729,143716,32050,92296,19370,31975.79618,396.3147006
E06000057,Northumberland,-2.068536,55.239085,5026.110333,E12000001,North East,320274,62278,202864,55132,156270,32111,99010,25149,164004,30167,103854,29983,26605.58376,63.72203927
E06000058,Bournemouth,-1.878991,50.749693,161.359864,E12000009,South West,395784,79516,252571,63697,196725,40925,127412,28388,199059,38591,125159,35309,26473.81974,2452.803257
E06000059,Dorset,-2.335809,50.807852,2491.50179,E12000009,South West,376484,72019,224659,79806,184103,36926,110708,36469,192381,35093,113951,43337,28726.48402,151.1072565
E07000004,Aylesbury Vale,-0.885412,51.892267,902.740807,E12000008,South East,199448,48314,127396,23738,98466,24908,63044,10514,100982,23406,64352,13224,32877.3913,220.9360632
E07000005,Chiltern,-0.627754,51.680532,196.397321,E12000008,South East,95927,23397,57013,15517,46599,12045,27801,6753,49328,11352,29212,8764,36092.98246,488.4333427
E07000006,South Bucks,-0.590024,51.556375,141.300824,E12000008,South East,70043,15908,43022,11113,33846,8002,21126,4718,36197,7906,21896,6395,35807.5,495.7012848
E07000007,Wycombe,-0.815228,51.649254,324.6425,E12000008,South East,174641,43064,107796,23781,85830,21764,53371,10695,88811,21300,54425,13086,32383.17757,537.9486666
E07000008,Cambridge,0.132936,52.199386,40.694089,E12000006,East of England,125758,25552,88529,11677,65175,13109,46978,5088,60583,12443,41551,6589,33920.28986,3090.325968
E07000009,East Cambridgeshire,0.294695,52.343017,651.361074,E12000006,East of England,89362,20620,55835,12907,43880,10662,27297,5921,45482,9958,28538,6986,31082,137.1927239
E07000010,Fenland,0.060814,52.562841,546.452938,E12000006,East of England,101491,21261,63493,16737,50202,10869,31699,7634,51289,10392,31794,9103,26010.90909,185.7268814
E07000011,Huntingdonshire,-0.220772,52.373744,912.582093,E12000006,East of England,177352,38424,113694,25234,88592,19931,56989,11672,88760,18493,56705,13562,32803.80952,194.3408723
